QueryText,KccAns
MIDGE FLY MANAGEMENT,MIDGE FLY MANAGEMENT : RECOMMENDED TO SPRAY TRIAZOPHOS 300 ML /200 LITRES OF WATER / ACRE
WEATHER INFORMATION,"WEATHER INFORMATION : WEATHER INFORMATION : CLOUDY WEATHER ,LESS CHANCE OF  RAIN IN YOUR AREA"
MAIZE ROOT ROT,RECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS / 1 LITRE OF WATER
paddy zinc deficiency management,paddy zinc deficiency management : recommended for spray zinc sulphate 2 grams/ 1 liter of water
ahips damage on sorghum,RECOMMENDED TO SPRAY ACEPHATE 300 GRAMS/ 200 LITRES OF WATER / ACRE
BENGAL GRAM MARKET PRICE,"MINIMUM -6759 ,MAXIMUM-6908,AVERAGE- 6900 RS PER QUINTAL"
weather report,no rain your area cloudy weather occur
weather report,today there is no chance of rainfall in your area
FRUIT ROT MANAGEMENT,RECOMMENDED TO SPRAY AZOXYSTROBIN  150 ML /200 LITERS OF WATER /ACRE
weather report,today there is no chance of rainfall in your area
GROUNDNUT SUCKING PEST MANAGEMENT,GROUNDNUT SUCKING PEST MANAGEMENT : RECOMMENDED FOR NEEM OIL 5 ML + ACEPHATE 1.5 GRAMS/ 1 LITER OF WATER
WEATHER REPORT,Mostly cloudy in your area
CHILLY NUTRIENT MANAGEMENT,MULTI-K (13-0-45)1KG/ACRE IN 200 LT WATER
BHENDI POWDERY MILDEW,RECOMMENDED TO SPRAY DINOCAP  200 ML /200 LITRES OF WATER / ACRE
weather report,no rain your area cloudy weather occur
WEATHER REPORT,today there is no chance of rainfall in your area
CHILLI MIDGE,RECOMMENDED TO SPRAY TRIZOPHAS 300ML/ACER
weather report,no rain your area cloudy weather occur
CHILLI GROWTH,CHILLI GROWTH : RECOMMENDED TO SPRAY POTASSIUM NITRATE  5 GRAMS/1 LITRE OF WATER
POWDERY MILDEWMANAGEMENT,POWDERY MILDEWMANAGEMENT : RECOMMENDED TO SPRAY AZOXYSTROBIN  150 ML /200 LITRES OF WATER /ACRE
management of chilli midge fly,RECOMMENDED TO SPRAY TRIAZOPHOS 300 ML /200 LITRES OF WATER / ACRE
WEATHER REPORT,today there is no chance of rainfall in your area
MAIZE NUTRIENT MANAGEMENT,MAIZE NUTRIENT MANAGEMENT: RECOMMENDED TO APPLY SPRAY 19-19-19 5 GRAM PER LITRE WATER
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
weather report,no rain your area cloudy weather occur
WATERMELON MITES,WATERMELON MITES : RECOMMENDED TO SPRAY NEEM OIL 1 LITRE AND SURF 1200 GRAM PER ACRE
weather report,no rain your area cloudy weather occur
FLOWER DROP MANAGEMENT,FLOWER DROP MANAGEMENT : RECOMMENDED TO SPRAY NAPHTHALENE ACETIC ACID 50 ML/ 200 LITERS OF WATER /ACRE
sucking pest in water mealon,RECOMMENDED TO SPRAY ACEPHATE 300 GRAMS/ 200 LITRES OF WATER / ACRE
powdery mildew in black gram,RECOMMENDED TO SPRAY AZOXYSTROBIN +TEBUCONAZOLE 240 ML/200 LITRES OF WATER / ACRE
CHILLI MIDGE,RECOMMENDED TO SPRAY TRIAZOPHOS 300 ML /200 LITRES OF WATER / ACRE
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
WEED MANAGEMENT IN BLACK GRAM,RECOMMENDED TO SPRAY PENDIMETHALIN(STOMP) 1- LITRE/ACRE
WEATHER REPORT,:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
BLACK GRAM ROOT GRUB,RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML/200 LITRES OF WATER / ACRE
GROWTH INCREASE,GROWTH INCREASE :  RECOMMENDED TO SPRAY POTASSIUM NITRATE  5 GRAMS/1 LITRE OF WATER
weather report,no rain your area cloudy weather occur
COTTON MARKET INFORMATION,"24/01/2017		Kapas (Adoni)	4607	6305	5560"
ground nut rust,RECOMMENDED TO SPRAY CARBENDAZIM + MANCOZEB  400  GRAMS/  200 LITRES OF WATER /ACRE
weather report,Mostly cloudy in your area
PADDY STEM BORER MANAGEMENT,RECOMMENDED TO SPRAY CARTAP HYDROCHLORIDE 400 GRAMS/ 200 LITRES OF WATER / ACRE
WATERMELON VARIETIES,"WATERMELON VARIETIES : ASAHI YAMATA, SUGAR BABY, ARKA JYOTHI, ARKA MAINK, DURGAPUR KESAR, DURGAPUR META ARE SUITABLE AND Informed that watermelon can be sown from Dec 2nd week to Jan first week. Also Advised to follow 2-2. 5 m x 30-50 cm spacing with irrigation canal of 60cm."
groundnut gypsum dosage:,groundnut gypsum dosage: recommended for apply gypsum 2 quintals/ acre
weather report,weather report : TODAY RAIN IS NOT OCCUR IN YOUR AREA
PADDY PANICLE MITE,RECOMMENDED TO SPRAY  SPIROMESIFEN  200 ML/200 LITRES OF WATER /ACRE
WEATHER REPORT,Beautiful with plenty of sunshine
okra sucking pest,recommended to spray dimethoate 400 ml./acre
market price for black grams,market price for black grams per quintal was around 8800 to 9800 rupees
MANAGEMENT OF CHILLI UPWARD CURLING,RECOMMENDED TO SPRAY DIMETHOATE  400ML /200 LITRES OF WATER /ACRE
market price for red grams,market price for red grams per quintal was around 5800 to 6000 rupees
MANAGEMENT OF PADDY BROWN SPOT,RECOMMENDED TO SPRAT   HEXACONAZOLE+ZINEB   500 GRAMS / 200 LITRES OF WATER /ACRE
weather report,today there is no chance of rain fall in your area
MANAGEMENT OF CHILLI CERCO SPORA LEAF SPOT,RECOMMENDED TO SPRAY TRICYCLAZOLE + MANCOZEB  400 GRAMS/200 LITRES OF WATER /ACRE
NUTRIENT MANAGEMENT IN .CHILLI,recommended to spray potassium nitrate 1 kg/acre
BLACK GRAM YELLOW MOSAIC :,BLACK GRAM YELLOW MOSAIC :RECOMMENDED YELLOW STICKY TRAPS
MANAGO FLOWER DROPING PROBLEM,MANAGO FLOWER DROPING PROBLEM '''RECOMMENDED TO SPRAY NAPHTHALENE ACETIC ACID 50 ML/ 200 LITRES OF WATER /ACRE
WEATHER REPORT:,WEATHER REPORT:THERE IS NO CHANCE OF RAIN IN YOUR PLACE
ridge gourd weed management,RECOMMENDED TO SPRAY PENDIMETHALIN 1-1.25 LITRE /200 LITRES OF WATER ACRE
BLACK GRAM VARIETIES,RECOMMENDED TO SOW P.U-31
BLACK GRAM POD BORER MANAGEMENT,BLACK GRAM POD BORER MANAGEMENT : RECOMMENDED TO SPRAY FLUBENDIAMIDE  40 ML /200 LITRES OF WATER / ACRE
WEATHER REPORT,THERE IS NO CHANCE OF RAIN IN YOUR PLACE
weather report:,today there is no chance of rainfall in your area
chilly thrips management,RECOMMENDED TO SPRAY DIFENTHIURON   300 GRAMS/ACRE
sucking pest in bitter gourd,RECOMMENDED TO SPRAY MALATHION   400 ML /200 LITRES OF WATER / ACRE
CITRUS ROOTSYSTEM,CITRUS ROOTSYSTEM: NO PROBLEM OF PLANTS
CHILLI THRIPS,RECOMMENDED TO SPRAY DIFENTHIURON   300 GRAMS/200 LITRES OF WATER /ACRE
WEATHER  REPORT,THERE IS NO CHANCE OF RAIN IN YOUR PLACE
MANAGEMENT OF CHILLI FRUIT ROT,RECOMMENDED TO SPRAY PROPICONAZOLE    200 ML / 200 LITRES OF WATER /ACRE
REDGRAM MARKET INFORMATION,"REDGRAM MARKET KURNOOL dhone MIN:7800	MAX:8000 MODAL:7900 Rs./Quintal"
weather report,weather report : cloudy weather
PADY STEM BORER MANAGEMENT,RECOMMENDED TO SPRAY CHLORANTHRANILIPROL  ( CORAGEN)60 ML/ACRE IN 200 LITER WATER
WEATHER  REPORT,THERE IS NO CHANCE OF RAIN IN YOUR PLACE
insurence information,"V.Jyothamma M.A.O., Punganur 8886612543"
weather report,today there is no chance of rain fall in your area
RED GRAM POD BORER:,RED GRAM POD BORER:RECOMMENDED TO SPRAY FLUBENDIAMIDE  40 ML /200 LITRES OF WATER / ACRE
weather report,no rain your area cloudy weather occur
PAPAYA NUTRIENT MANAGEMENT,RECOMMENDED TO SPRAY OF BORAX 1-1.5 GRAMS PER LITRE
CHILLI BACETRIAL LEAF SPOT DAMAGE,RECOMMENDED TO SPRAY STREPTO CYCLIN 1 GRAM / 10 LITER WATER + COPPER OXY CHLORIDE 30 GRAM /10  LITER WATER
weather report,no rain your area cloudy weather occur
WEATHER REPORT,"WEATHER REPORT
NO RAINS ARE THERE IN YOUR AREA"
CHILLI GROWTH,CHILLI GROWTH : RECOMMENDED TO SPRAY POTASSIUM NITRATE  5 GRAMS/1 LITRE OF WATER
chilli micro nutrient deficiency,recommended to spray agromin max 5gm + multi-k 5gm /lit of water
chilli leaf spot management,RECOMMENDED  TO SPRAY COPPER OXY CHLORIDE  30 GRAMS   +   STREPTOCYCLINE   1 GRAM  / 1 0 LITRES OF WATER
chilli leaf spot management,"RECOMMENDED TO SPRAY CARBENDAZIM   200  GRAMS/  200 LITRES OF WATER /ACRE   
recommended to spray multi-k 5gm / lit of water"
WEED MANAGEMENT IN BLACK  GRAM,NOT RECOMMENDED
WEATHER  REPORT,THERE IS NO CHANCE OF RAIN IN YOUR PLACE
ground nut weed management,"RECOMMENDED TO SPRAY IMAZITAPYR ( WEEDBLOCK, PURSUIT, )300- 400 ML/200 LITRES OF WATER  PER ACRE"
MANAGEMENT OF APHIDS IN SORGHUM,RECOMMENDED TO SPRAY DIMETHOATE  400ML /200 LITRES OF WATER /ACRE
MANAGEMENT OF GREEN GRAM POWDERMILDEW,RECOMMENDED TO SPRAY DINOCAP  400 ML /200 LITRES OF WATER / ACRE
WEATHER REPORT,"WEATHER REPORT
NO RAINS ARE THERE IN YOUR AREA"
GROWTH IN BLACK GRAM,RECOMMENDED TO SPRAY POTASSIUM NITRATE  5 GRAMS/1 LITRE OF WATER
Poultry information,"040- 25505442, 040-24017000/24015651, hatchery/040-24018687"
maize fertilizer management,recommended to apply urea 40 kg /acre
weather report,no rain your area cloudy weather occur
WEATHER REPORT:,WEATHER REPORT:THERE IS NO CHANCE OF RAIN IN YOUR PLACE
weather report,no rain your area cloudy weather occur
WEATHER REPORT:,WEATHER REPORT:THERE IS NO CHANCE OF RAIN IN YOUR PLACE
PAPAYA LEAF SPOT DAMAGE,RECOMMENDED TO SPRAY CARBENDAZIM 2 GRAM / LITER WATER
BLACK GRAM GROWTH:,BLACK GRAM GROWTH:RECOMMENDED AGROMIN MAX KG/ACRE
GROUNDNUT NUTRIENT MANAGEMENT,GROUNDNUT NUTRIENT MANAGEMENT: RECOMMENDED TO APPLY UREA 10 KILO PER ACRE
CHILLY NUTRIENT MANAGEMENT,CHILLY NUTRIENT MANAGEMENT : RECOMMENDED FOR SPRAY 13-0-45(POTASSIUM NITRATE) 5 GRAMS/ 1 LITER OF WATER
weed management in black gram,"RECOMMENDED TO SPRAY IMAZITAPYR ( WEEDBLOCK, PURSUIT, ) 300- 400 ML PER ACRE"
root rot in ground nut,RECOMMENDED TO SPRAY CARBENDAZIM   200  GRAMS/  200 LITRES OF WATER /ACRE
papaya virus,"RECOMMENDED TO SPRAY IMIDACLOPRID 60 ML /200 LITERS OF WATER / ACRE       
RECOMMENDED TO  FIPRONIL 40 GM /200 LITERS OF WATER / ACRE   
RECOMMENDED TO SPRAY ACETAMIPRID   40 GRAMS  /200 LITERS OF WATER /ACRE"
weather report,today there is no chance of rainfall in your area
bengal gram  nutrient management,recommended to spray 13-0-45 one kg per acre
SORGHUM SOWING TIME SUMMER SEASON,SORGHUM SOWING TIME SUMMER SEASON : JANUARY
weather report:,weather report: no rain your area cloudy weather occur
Government schemes,RECOMMENDED TO CONTACT YOUR AGRICULTURE OFFICER
CHILLI UPWAED CURLING (THRIPS DAMAGE),CHILLI UPWAED CURLING (THRIPS DAMAGE);;RECOMMENDED TO SPRAY  FIPRONIL  400 ML/ 200 LITRES OF WATER /ACRE
market information in chilli :,"market information in chilli :5000	12200/quintal"
weather report,RAINS ARE THERE IN YOUR AREA
ground nut thikka leaf spot damage,recommended to spray copper oxy chloride 3 gram / liter water
black gram varieties,recommended to sow  p.u - 31
white flies in chilli,"RECOMMENDED TO SPRAY ACETAMIPRID   40 GRAMS  /200 LITRES OF WATER /ACRE  
RECOMMENDED TO SPRAY DIFENTHIURON   300 GRAMS/200 LITRES OF WATER /ACRE"
MANGO APHID,RECOMMENDED TO SPRAY ACETAMIPRID   40 GRAMS  /200 LITRES OF WATER /ACRE
bacterial leaf spot in chili,RECOMMENDED  TO SPRAY COPPER OXY CHLORIDE  600 GRAMS   +   STREPTOCYCLINE   20 GRAM  / 200 LITRES OF WATER /ACRE
weather report `,NO RAINS ARE THERE IN YOUR AREA
PADDY BLAST DAMAGE,RECOMMENDED TO SPRAY MERJER 400 GRAM / ACRE
oilpalm nutrient msnagement,oilpalm nutrient msnagement: recommended to apply fertilizers twice in a year
DRY ROOT ROT IN BENGAL GRAM,RECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS / 1 LITRE OF WATER
weather report,NO RAINS ARE THERE IN YOUR AREA
GREENGRAM PODBORER,GREENGRAM PODBORER: RECOMMENDED TO SPRAY NEEM OIL 1 LITRE AND SURF 100 GRAM PER ACRE
PUMPKIN SOWING TIME,PUMPKIN SOWING TIME: DECEMBER 15 TO JANUARY
weather report,NO RAINS ARE THERE IN YOUR AREA
SUCKING PESTS MANAGEMENT IN BEAN,RECOMMENDED TO SPRAY ACETAMIPRID   40 GRAMS  /200 LITERS OF WATER /ACRE
NUTRIENT MANAGEMENT IN GROUNDNUT,NUTRIENT MANAGEMENT IN GROUNDNUT : RECOMMENDED TO APPLY UREA 9 KGS / ACRE
fertilizer management in black gram,fertilizer management in black gram : recommended to apply urea 1 bag and potash 25 kg per acre
citrus canker,citrus canker : RECOMMENDED  TO SPRAY COPPER OXY CHLORIDE  600 GRAMS   +   STREPTOCYCLINE   20 GRAM  / 200 LITERS OF WATER /ACRE
CHILLI POWDERY MILDEW CONTROL,RECOMMENDED TO SPRAY DINOCAP(KERATHANE) 400 ML PER ACRE
black gram root rot management,black gram root rot management :RECOMMENDED TO DRENCH  COPPER OXY CHLORIDE   3 GM/LIT OF WATER
WEATHER REPORT,WEATHER REPORT : today there is no chance of rain fall in your area
CHILLY MITE MANAGEMENT,CHILLY MITE MANAGEMENT : RECOMMENDED TO SPRAY DIFENTHIURON   300 GRAMS/200 LITRES OF WATER /ACRE
BROWN PLANT HOPPER IN PADDY,RECOMMENDED TO SPRAY ACEPHATE 300 GRAMS/ 200 LITRES OF WATER / ACRE
REDGRA POD BORER CONTROL,RECOMMENDED TO SPRAY CHLORIPYRIPHOS 500 ML/ACRE IN 200 LITER WATER
WEATHER REPORT,WEATHER REPORT : today there is no chance of rain fall in your area
CHILLY MIDGE FLY MANAGEMENT,CHILLY MIDGE FLY MANAGEMENT : RECOMMENDED TO SPRAY TRIAZOPHOS 300 ML /200 LITRES OF WATER / ACRE
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
rain guns on subsidy,recommended to contact your nearest agriculture officer for more details
GROUND NUT LEAF DAMAGE,RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML/200 LITRES OF WATER / ACRE
DRUM STICK VARIETY,RECOMMENDED DRUM STICK VARIETY ;Jaffna
sucking pests on mango,RECOMMENDED TO SPRAY ACETAMIPRID   40 GRAMS  /200 LITRES OF WATER /ACRE
weather report,today there is no chance of rain fall in your area
die back in chillies,RECOMMENDED  TO SPRAY COPPOR OXY CHLORIDE  30 GRAMS   +   STREPTOCYCLINE   1 GRAM  / 10 LITERS OF WATER
weather report,today there is no chance of rain fall in your area
black gram pod borer management,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  100 GRAMS /200 LITERS OF WATER / ACRE
chilli growth management:,chilli growth management:recommended 13-0-45 kg/acre
WEATHER REPORT,WEATHER REPORT : Mostly cloudy in your area
WEATHER REPORT,NO RAINS ARE THERE IN YOUR AREA
PAPAYA PLANTING MATERIAL AVAILABILITY,"PAPAYA PLANTING MATERIAL AVAILABILITY : CONTACT HORTICULTURE RESEARCH STATION ,ANANTHRAJUPET
PH-7382633668"
NUTRIENT MANAGEMENT IN POTATO,"NUTRIENT MANAGEMENT IN POTATO : RECOMMENDED TO APPLY 40 KGS UREA,  150 SSP, 30 KGS OF MURATE OF POTASH AS BASAL DOSE"
RED GRAM POD BORER MANAGEMENT,RECOMMENDED TO SPRAY CHLORANTRINIPROLU   40-60 ML/ACRE
leaf spots in chilli,RECOMMENDED TO SPRAY AZOXYSTROBIN  150 ML /200 LITERS OF WATER /ACRE
weather report,THERE IS NO CHANCE TO RAIN FALL IN YOUR AREA
BHENDI EARLY BLIGHT MANAGEMENT,Recommended to spray  55 % Metiram + 5 % Piraclostrobin   600 gram /acrE
stem borer in maize,RECOMMENDED TO APPLY CARBOFURAN 3 G  GRANULES  3 KG /ACRE
PADDY FERTILIZER MANAGEMENT,1 BAG DAP 32 KG UREA 12 KG POTASH
SUCKING PESTS MANAGEMENT IN CHILLI,SUCKING PESTS MANAGEMENT IN CHILLI : RECOMMENDED TO SPRAY DIFENTHIURON   300 GRAMS/200 LITRES OF WATER /ACRE
CHILLI MICRO NUTRIENT DEFICIENCY MANAGEMENT,RECOMMENDED TO SPRAY FORMULA-4 1KG/ACRE IN 200 LT WATER
MANGO GROWTH FERTILIZER,MANGO GROWTH FERTILIZER:RECOMMENDED TO SPRAY POTASSIUM NITRATE 13-0-45 1  KG/ACRE IN 200 LT WATER
WEATHER REPORT,WEATHER REPORT : today there is no chance of rain fall in your area
black gram market information,"3/01/2017	0.1	Local	6700	6800/quintal"
CHILLI POWDERY MILDEW DAMAGE,RECOMMENDED TO SPRAY WETTABLE SULPHOR 3 GRAM / LITER WATER
weather report,THERE IS NO CHANCE OF RAIN IN YOUR PLACE
weather report,no rain your area cloudy weather occur
weather report,no rain your area cloudy weather occur
CHILLI  BACTERIAL LEAF SPOT DAMAGE,RECOMMENDED TO SPRAY STREPTO CYCLIN 1 GRAM / 10 LITER WATER + COPPER OXY CHLORIDE 30 GRAM / 10 LITER WATER
WEATHER REPORT,WEATHER REPORT : today there is no chance of rainfall in your area
chilli rootrot,chilli rootrot : recommended to soildrench copperoxychloride 600 gram per acre
powdery mildew in chilli,"RECOMMENDED TO SPRAY   TEBUCONAZOLE + TRIFLOXYSTROBIN  160 GRAMS /200 LITRES OF WATER /ACRE      
RECOMMENDED TO SPRAY AZOXYSTROBIN  150 ML /200 LITRES OF WATER /ACRE"
root rot management in bengalgram,TRICODERMA VIRIDE FORMULATION  PREPARATION: TRICODERMA VIRIDE 2 KGS +COW DUNG 90 KGS
IVY GUARD  APHID DAMAGE,RECOMMENDED TO SPRAY  IMIDA CHLOPRID  100 MILLI LITER / ACRE
weather report,today there is no chance of rain fall in your area
BOTTLE GUARD MARKET INFORMATION,BOTTLE GUARD MARKET INFORMATION : MINIMUM 1000 - MAXIMUM 1200
WEED MANAGEMENT IN COTTON,RECOMMENDED TO SPRAY PROPAQUIZAFOP 400 ML/ACRE
BENGAL GRAM MARKET INFORMATION,"04/01/2017	Desi (Whole)	6280	6789/QUINTAL"
WEATHER REPORT,no rain your area cloudy weather occur
weather report,no rain your area cloudy weather occur
chilli  powdery mildew  management,chilli  powdery mildew  management  recommended  dinocap 400ml/acre
weather report,no rain your area cloudy weather occur
WEATHER REPORT,WEATHER REPORT  THERE IS NO CHANCE TO RAIN FALL IN YOUR AREA
weather report:,today there is no chance of rainfall in your area
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
GROUND NUT NUTRIENT MANAGEMENT,GROUND NUT NUTRIENT MANAGEMENT : RECOMMENDED TO SPRAY 19-19-19 1 KG PER ACRE
weather report,no rain your area cloudy weather occur
black gram  stem borer,recommended to spray  ima mectin benzoate 90 gram /acre
water melon  fertilizer management,recommended to apply  19-19-19  25-30 kg/acre
POWDERY MILDEW IN CHILLI,RECOMMENDED TO SPRAY   METIRAM+PYRACLOSTROBIN 600 GRAMS /200 LITERS OF WATER /ACRE
market information in black gram:,market information in black gram:minimam    9000     maximam 10000
chilli virus damage,recommended to remove effected plants & spray  acephate 1.5 gram / liter water
weather report,mostly clear weather in your area
sucking pests management in chilli,sucking pests management in chilli :RECOMMENDED TO SPRAY SPINOSAD 75 ML/200 LITRES OF WATER / ACRE
MANAGEMENT OF CHILLI  POWDER MILDEW,RECOMMENDED TO SPRAY AZOXYSTROBIN  150 ML /200 LITRES OF WATER /ACRE
GROUND NUT SUCKING PEST,RECOMMENDED TO SPRAY ACETAMIPRID   40 GRAMS  /200 LITRES OF WATER /ACRE
WEATHER REPORT,Hazy sunshine
weather report:,"weather report:
today there is no chance of rainfall in your area"
weather report,no rain your area cloudy weather occur
chili leaf spot management,RECOMMENDED TO SPRAY CHLOROTHALONIL 400 GRAMS / ACRE
BLACK GRAM VARIETIES,RECOMMENDED TO SOW   P.U-31
GREEN GRAM YELLOW MOSAIC ;,GREEN GRAM YELLOW MOSAIC ;RECOMMENDED TO SPRAY ACEPHATE 300 GRAMS/ 200 LITRES OF WATER / ACRE
weather report,Hazy sunshine
chilli growth fertilizer,chilli growth fertilizer :RECOMMENDED TO SPRAY POTASSIUM NITRATE 13-0-45 1  KG/ACRE IN 200 LT WATER
varieties of groundnut,advised to sow kadiri-7 or kadiri-8 varieties
PAPAYA DAMPING OFF,PAPAYA DAMPING OFF: RECOMMENDED TO SOILDRENCH CHLORONTHRONIL 2 GRAM PER LITRE WATER
WATERMELON VARIETIES,"WATERMELON VARIETIES : ASAHI YAMATA, SUGAR BABY, ARKA JYOTHI, ARKA MAINK, DURGAPUR KESAR, DURGAPUR META ARE SUITABLE AND Informed that watermelon can be sown from Dec 2nd week to Jan first week. Also Advised to follow 2-2. 5 m x 30-50 cm spacing with irrigation canal of 60cm."
WEATHER REPORT,WEATHER REPORT : today there is no chance of rain fall in your area
SUGARCANE WEED MANAGEMENT,"SUGARCANE WEED MANAGEMENT :2,4-D sodium ammonium salt 2 ml/ 1 liter of water"
SUCKING  PESTS  MANAGEMENT IN CHILLI,SUCKING  PESTS  MANAGEMENT IN CHILLI :RECOMMENDED TO SPRAY SPINOSAD 75 ML/200 LITRES OF WATER / ACRE
LEAF SPOTS IN CHILLI,"RECOMMENDED TO SPRAY AZOXYSTROBIN  150 ML /200 LITERS OF WATER /ACRE
RECOMMENDED TO SPRAY IMIDACLOPRID 60 ML /200 LITERS OF WATER / ACRE"
market information in black gram:,"market information in black gram:9000	10000	/quintal"
weather report:,weather report:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
weather report,no rain your area cloudy weather occur
PADDY WEED MANAGEMANT,"PADDY WEED MANAGEMANT RECOMMENDED TO SPRAY BUTACHLOR (BILCHLOR, MACHET)  ONE LITRE/200 LITRES OF WATER  PER ACRE"
WATER MANAGEMENT AT FLOWERING  STAGE,RECOMMENDED TO SPRAY APPLY LIGHT IRRIGATION AT THIS STAGE
MANGO SUCKING PEST CONTROL,RECOMMENDED TO SPRAY DIMETHOATE  400ML /200 LITRES OF WATER /ACRE
chilli growth management,recommended to apply urea 30 kg /acre
weather report,no rain your area cloudy weather occur
WEATHER REPORT,Sunshine
chilli   nutrient  management,chilli   nutrient  management recommended 13-0-45/kg/acre
black gram rust management,RECOMMENDED TO SPRAY MANCOZEB   600 GRAMS / 200 LITERS OF WATER / ACRE
WEATHER REPORT,NO RAINS ARE THERE IN YOUR AREA
BHENDI WHITEFLY CONTROL,RECOMMENDED TO SPRAY THIAMETHOXAM 40 GRAMS /200 LITRES OF WATER / ACRE
black gram leaf spot damage,recommended to spray carbendazim 2 gram / liter water
WEATHER REPORT,NO RAINS ARE THERE IN YOUR AREA
WEATHER REPORT,WEATHER REPORT : today there is no chance of rainfall in your area
WEATHER REPORT IN DOKIPARRU,WEATHER REPORT IN DOKIPARRU :Mostly sunny and pleasant
market information in cotton:,"market information in cotton:4361	5611/quintal"
ground nut tobacco caterpillar management,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  100 GRAMS /200 LITERS OF WATER / ACRE
weather report:,weather report: no rain your area cloudy weather occur
POWDERY MILDEW MANAGEMENT,POWDERY MILDEW MANAGEMENT : RECOMMENDED TO SPRAY AZOXYSTROBIN  150 ML /200 LITRES OF WATER /ACRE
weed management in maize :,"weed management in maize :recommended 2,4-D 500grm/acre"
weather report:,weather report: no rain your area cloudy weather occur
BENGAL GRAM ROOT GRUB MANAGEMENT,RECOMMENDED TO SPRAY  CARBOFURAN 3 G 10 KGS/ACRE
chilli virus :,chilli virus :recommended yellow sticky traps
MAIZE WEED MANAGEMENT,RECOMMENDED TO SPRAY ATRAZINE800 GRAMS PER ACRE
weed management in black grams,advised to take up manual weeding
market price for cotton,market price for cotton per quintal was around 4900 to 5200 rupees
weather report:,weather report: no rain your area cloudy weather occur
